"type","epoch","batch","shot","sparsity_mode","sparsity_value","loss","iou_cup","iou_disc"
"TS","0","266","1","grid","0.25","0.2181161344051361","0.7681","0.8683"
"TS","0","267","1","grid","0.25","0.20846883952617645","0.6842","0.8451"
"TS","0","268","1","grid","0.25","0.38572102785110474","0.3589","0.8324"
"TS","0","269","1","grid","0.25","0.3308078646659851","0.7022","0.7836"
"TS","0","270","1","grid","0.25","0.23001499474048615","0.6419","0.8592"
"TS","0","271","1","grid","0.25","0.3269009292125702","0.5696","0.8073"
"TS","0","272","1","grid","0.25","0.36642032861709595","0.6007","0.8209"
"TS","0","273","1","grid","0.25","0.17894259095191956","0.7466","0.8914"
"TS","0","274","1","grid","0.25","0.29688337445259094","0.5125","0.8743"
"TS","0","275","1","grid","0.25","0.25671520829200745","0.6451","0.8285"
"TS","0","276","1","grid","0.25","0.23223590850830078","0.5219","0.8638"
"TS","0","277","1","grid","0.25","0.25712820887565613","0.6338","0.8599"
"TS","0","278","1","grid","0.25","0.2552334666252136","0.5722","0.8492"
"TS","0","279","1","grid","0.25","0.2440689355134964","0.6835","0.8706"
"TS","0","280","1","grid","0.5","0.23275649547576904","0.7434","0.8499"
"TS","0","281","1","grid","0.5","0.26925066113471985","0.6204","0.8621"
"TS","0","282","1","grid","0.5","0.23010651767253876","0.6343","0.8578"
"TS","0","283","1","grid","0.5","0.26797837018966675","0.5103","0.8396"
"TS","0","284","1","grid","0.5","0.306163489818573","0.4557","0.8597"
"TS","0","285","1","grid","0.5","0.21603445708751678","0.7349","0.8658"
"TS","0","286","1","grid","0.5","0.2612476050853729","0.7259","0.8491"
"TS","0","287","1","grid","0.5","0.27106600999832153","0.6884","0.853"
"TS","0","288","1","grid","0.5","0.24460366368293762","0.7195","0.8618"
"TS","0","289","1","grid","0.5","0.21521680057048798","0.6105","0.8752"
"TS","0","290","1","grid","0.5","0.24378018081188202","0.6978","0.853"
"TS","0","291","1","grid","0.5","0.3037496507167816","0.5174","0.8642"
"TS","0","292","1","grid","0.5","0.6152052283287048","0.1533","0.7781"
"TS","0","293","1","grid","0.5","0.23173484206199646","0.6814","0.8613"
"TS","0","294","1","grid","0.5","0.20591875910758972","0.6422","0.8887"
"TS","0","295","1","grid","0.5","0.23977866768836975","0.6058","0.8539"
"TS","0","296","1","grid","0.5","0.25328880548477173","0.607","0.8576"
"TS","0","297","1","grid","0.5","0.2826947569847107","0.717","0.8247"
"TS","0","298","1","grid","0.5","0.19068841636180878","0.7123","0.8843"
"TS","0","299","1","grid","0.5","0.1918443888425827","0.7359","0.8877"
"TS","0","300","1","grid","0.5","0.20599420368671417","0.692","0.8694"
"TS","0","301","1","grid","0.5","0.2913975417613983","0.6345","0.8157"
"TS","0","302","1","grid","0.5","0.3808441758155823","0.622","0.7918"
"TS","0","303","1","grid","0.5","0.32890763878822327","0.6242","0.8285"
"TS","0","304","1","grid","0.5","0.23711469769477844","0.5952","0.8538"
"TS","0","305","1","grid","0.5","0.19865596294403076","0.6856","0.8687"
"TS","0","306","1","grid","0.5","0.2700818181037903","0.6044","0.8463"
"TS","0","307","1","grid","0.5","0.2843424677848816","0.6399","0.8186"
"TS","0","308","1","grid","0.5","0.3938928246498108","0.3602","0.8322"
"TS","0","309","1","grid","0.5","0.22693565487861633","0.6854","0.8441"
"TS","0","310","1","grid","0.5","0.28658390045166016","0.7036","0.8578"
"TS","0","311","1","grid","0.5","0.29174700379371643","0.6754","0.7765"
"TS","0","312","1","grid","0.5","0.26922518014907837","0.67","0.823"
"TS","0","313","1","grid","0.5","0.30915576219558716","0.6602","0.8409"
"TS","0","314","1","grid","0.5","0.2861337661743164","0.6394","0.8503"
"TS","0","315","1","grid","0.5","0.3551880717277527","0.6047","0.802"
"TS","0","316","1","grid","0.5","0.28153109550476074","0.637","0.8421"
"TS","0","317","1","grid","0.5","0.2312431037425995","0.7635","0.8569"
"TS","0","318","1","grid","0.5","0.2487979680299759","0.6356","0.8518"
"TS","0","319","1","grid","0.5","0.24622945487499237","0.7236","0.8658"
"TS","0","320","1","grid","0.75","0.22811317443847656","0.6961","0.8412"
"TS","0","321","1","grid","0.75","0.18940718472003937","0.7293","0.8912"
"TS","0","322","1","grid","0.75","0.24375328421592712","0.6544","0.8734"
"TS","0","323","1","grid","0.75","0.2731407582759857","0.5914","0.8414"
"TS","0","324","1","grid","0.75","0.2695883810520172","0.6844","0.81"
"TS","0","325","1","grid","0.75","0.2443869411945343","0.6603","0.8605"
"TS","0","326","1","grid","0.75","0.348700612783432","0.5007","0.8227"
"TS","0","327","1","grid","0.75","0.2547150254249573","0.6289","0.8513"
"TS","0","328","1","grid","0.75","0.2693679630756378","0.6508","0.8478"
"TS","0","329","1","grid","0.75","0.24330516159534454","0.7158","0.8683"
"TS","0","330","1","grid","0.75","0.2711043655872345","0.5837","0.8671"
"TS","0","331","1","grid","0.75","0.252788245677948","0.5926","0.8285"
"TS","0","332","1","grid","0.75","0.22479693591594696","0.6121","0.8541"
"TS","0","333","1","grid","0.75","0.3203656077384949","0.6304","0.8419"
"TS","0","334","1","grid","0.75","0.32679283618927","0.4416","0.8505"
"TS","0","335","1","grid","0.75","0.22662171721458435","0.5946","0.8709"
"TS","0","336","1","grid","0.75","0.16696685552597046","0.6736","0.8823"
"TS","0","337","1","grid","0.75","0.44985485076904297","0.4897","0.7506"
"TS","0","338","1","grid","0.75","0.23997120559215546","0.7303","0.8688"
"TS","0","339","1","grid","0.75","0.288209468126297","0.5881","0.8276"
"TS","0","340","1","grid","0.75","0.2862599492073059","0.6906","0.8519"
"TS","0","341","1","grid","0.75","0.2925139367580414","0.6919","0.8543"
"TS","0","342","1","grid","0.75","0.4561915397644043","0.455","0.8053"
"TS","0","343","1","grid","0.75","0.23322367668151855","0.728","0.8552"
"TS","0","344","1","grid","0.75","0.25876492261886597","0.7251","0.8479"
"TS","0","345","1","grid","0.75","0.33993399143218994","0.6639","0.8118"
"TS","0","346","1","grid","0.75","0.2609659433364868","0.6083","0.8535"
"TS","0","347","1","grid","0.75","0.32038119435310364","0.624","0.8347"
"TS","0","348","1","grid","0.75","0.18188096582889557","0.7771","0.9007"
"TS","0","349","1","grid","0.75","0.24729523062705994","0.718","0.8538"
"TS","0","350","1","grid","0.75","0.2687603235244751","0.5739","0.8251"
"TS","0","351","1","grid","0.75","0.3268658220767975","0.4344","0.8582"
"TS","0","352","1","grid","0.75","0.20159685611724854","0.6938","0.8764"
"TS","0","353","1","grid","0.75","0.2803216576576233","0.6646","0.8253"
"TS","0","354","1","grid","0.75","0.21289940178394318","0.6645","0.8924"
"TS","0","355","1","grid","0.75","0.23805196583271027","0.7039","0.8476"
"TS","0","356","1","grid","0.75","0.34306272864341736","0.4329","0.8688"
"TS","0","357","1","grid","0.75","0.21707133948802948","0.7037","0.8753"
"TS","0","358","1","grid","0.75","0.2976855933666229","0.653","0.8591"
"TS","0","359","1","grid","0.75","0.2141302525997162","0.7256","0.866"
"TS","0","360","1","grid","1.0","0.23878829181194305","0.6548","0.8669"
"TS","0","361","1","grid","1.0","0.2791242003440857","0.5977","0.8435"
"TS","0","362","1","grid","1.0","0.24023544788360596","0.7117","0.8565"
"TS","0","363","1","grid","1.0","0.4114408493041992","0.5029","0.8249"
"TS","0","364","1","grid","1.0","0.19202680885791779","0.7144","0.8895"
"TS","0","365","1","grid","1.0","0.29100483655929565","0.5326","0.8521"
"TS","0","366","1","grid","1.0","0.22787685692310333","0.7497","0.8602"
"TS","0","367","1","grid","1.0","0.23760464787483215","0.6838","0.8052"
"TS","0","368","1","grid","1.0","0.3107769787311554","0.6867","0.8169"
"TS","0","369","1","grid","1.0","0.21959452331066132","0.6416","0.869"
"TS","0","370","1","grid","1.0","0.3083171248435974","0.688","0.8502"
"TS","0","371","1","grid","1.0","0.27930089831352234","0.6378","0.8322"
"TS","0","372","1","grid","1.0","0.3483511209487915","0.4267","0.8537"
"TS","0","373","1","grid","1.0","0.25507020950317383","0.4248","0.8398"
"TS","0","374","1","grid","1.0","0.26347047090530396","0.6658","0.8407"
"TS","0","375","1","grid","1.0","0.271245539188385","0.7357","0.817"
"TS","0","376","1","grid","1.0","0.2525803744792938","0.6921","0.8821"
"TS","0","377","1","grid","1.0","0.23468486964702606","0.6122","0.8408"
"TS","0","378","1","grid","1.0","0.17125454545021057","0.6902","0.9038"
"TS","0","379","1","grid","1.0","0.19327209889888763","0.6037","0.8597"
"TS","0","380","1","grid","1.0","0.23615989089012146","0.7107","0.8441"
"TS","0","381","1","grid","1.0","0.23721277713775635","0.7088","0.8493"
"TS","0","382","1","grid","1.0","0.3363882899284363","0.6006","0.8238"
"TS","0","383","1","grid","1.0","0.22866466641426086","0.72","0.8608"
"TS","0","384","1","grid","1.0","0.305189311504364","0.6494","0.8297"
"TS","0","385","1","grid","1.0","0.2576000988483429","0.6777","0.8644"
"TS","0","386","1","grid","1.0","0.3695056438446045","0.3963","0.8509"
"TS","0","387","1","grid","1.0","0.3966045677661896","0.4189","0.8284"
"TS","0","388","1","grid","1.0","0.30371659994125366","0.6537","0.8018"
"TS","0","389","1","grid","1.0","0.206638902425766","0.6987","0.8643"
"TS","0","390","1","grid","1.0","0.2732296586036682","0.6768","0.8635"
"TS","0","391","1","grid","1.0","0.20107106864452362","0.7005","0.8657"
"TS","0","392","1","grid","1.0","0.20236077904701233","0.6633","0.8635"
"TS","0","393","1","grid","1.0","0.3581911623477936","0.4205","0.8573"
"TS","0","394","1","grid","1.0","0.24667581915855408","0.7423","0.8385"
"TS","0","395","1","grid","1.0","0.3411027193069458","0.5016","0.86"
"TS","0","396","1","grid","1.0","0.2147836685180664","0.7504","0.8771"
"TS","0","397","1","grid","1.0","0.28083664178848267","0.6085","0.8327"
"TS","0","398","1","grid","1.0","0.34073013067245483","0.5827","0.8511"
"TS","0","399","1","grid","1.0","0.3504127562046051","0.595","0.7895"
"TS","0","400","1","contour","0.1","0.3038957715034485","0.3537","0.9133"
"TS","0","401","1","contour","0.1","0.47603631019592285","0.5525","0.7897"
"TS","0","402","1","contour","0.1","0.3644673228263855","0.3956","0.8733"
