"type","epoch","batch","shot","sparsity_mode","sparsity_value","loss","iou_cup","iou_disc"
"TS","0","1254","5","grid","0.25","0.2447022646665573","0.6983","0.8611"
"TS","0","1255","5","grid","0.25","0.26582956314086914","0.7479","0.8503"
"TS","0","1256","5","grid","0.25","0.28523850440979004","0.6992","0.8455"
"TS","0","1257","5","grid","0.25","0.21154801547527313","0.7506","0.8701"
"TS","0","1258","5","grid","0.25","0.32080939412117004","0.5188","0.8141"
"TS","0","1259","5","grid","0.25","0.3094044327735901","0.6415","0.8111"
"TS","0","1260","5","grid","0.25","0.3433825373649597","0.6481","0.8026"
"TS","0","1261","5","grid","0.25","0.16941986978054047","0.7303","0.895"
"TS","0","1262","5","grid","0.25","0.281056672334671","0.7004","0.829"
"TS","0","1263","5","grid","0.25","0.4829501211643219","0.3574","0.7965"
"TS","0","1264","5","grid","0.25","0.323382705450058","0.6514","0.8494"
"TS","0","1265","5","grid","0.25","0.2530755400657654","0.7077","0.8489"
"TS","0","1266","5","grid","0.25","0.3103962242603302","0.6301","0.8238"
"TS","0","1267","5","grid","0.25","0.234270378947258","0.5947","0.8839"
"TS","0","1268","5","grid","0.25","0.2323457896709442","0.7115","0.8693"
"TS","0","1269","5","grid","0.25","0.2901074290275574","0.6914","0.8386"
"TS","0","1270","5","grid","0.25","0.3362823724746704","0.5476","0.8363"
"TS","0","1271","5","grid","0.25","0.30394211411476135","0.6383","0.8527"
"TS","0","1272","5","grid","0.25","0.2831091582775116","0.5866","0.8271"
"TS","0","1273","5","grid","0.25","0.24276375770568848","0.6756","0.8523"
"TS","0","1274","5","grid","0.25","0.3284783959388733","0.4989","0.8423"
"TS","0","1275","5","grid","0.25","0.2694705128669739","0.7025","0.815"
"TS","0","1276","5","grid","0.25","0.282253623008728","0.6306","0.8658"
"TS","0","1277","5","grid","0.25","0.227876216173172","0.6655","0.8744"
"TS","0","1278","5","grid","0.25","0.34541359543800354","0.5531","0.7977"
"TS","0","1279","5","grid","0.25","0.2704560458660126","0.6443","0.8549"
"TS","0","1280","5","grid","0.5","0.30164963006973267","0.6754","0.8469"
"TS","0","1281","5","grid","0.5","0.3200792372226715","0.6648","0.8236"
"TS","0","1282","5","grid","0.5","0.3634894788265228","0.5543","0.8084"
"TS","0","1283","5","grid","0.5","0.3039659559726715","0.5704","0.8259"
"TS","0","1284","5","grid","0.5","0.2667379081249237","0.6895","0.8579"
"TS","0","1285","5","grid","0.5","0.2494232952594757","0.7448","0.8485"
"TS","0","1286","5","grid","0.5","0.2910451591014862","0.6057","0.8513"
"TS","0","1287","5","grid","0.5","0.24445872008800507","0.6986","0.8513"
"TS","0","1288","5","grid","0.5","0.23938557505607605","0.6703","0.8799"
"TS","0","1289","5","grid","0.5","0.2982524037361145","0.7194","0.8473"
"TS","0","1290","5","grid","0.5","0.26633572578430176","0.6893","0.8622"
"TS","0","1291","5","grid","0.5","0.2509155571460724","0.6923","0.857"
"TS","0","1292","5","grid","0.5","0.2737705111503601","0.7409","0.8593"
"TS","0","1293","5","grid","0.5","0.26890426874160767","0.7327","0.8719"
"TS","0","1294","5","grid","0.5","0.30328473448753357","0.6721","0.8048"
"TS","0","1295","5","grid","0.5","0.2640978693962097","0.7097","0.8606"
"TS","0","1296","5","grid","0.5","0.27163487672805786","0.7165","0.8704"
"TS","0","1297","5","grid","0.5","0.2535344362258911","0.6656","0.8579"
"TS","0","1298","5","grid","0.5","0.2847021818161011","0.668","0.8151"
"TS","0","1299","5","grid","0.5","0.2552185654640198","0.6664","0.849"
"TS","0","1300","5","grid","0.5","0.30574196577072144","0.6546","0.8354"
"TS","0","1301","5","grid","0.5","0.3191698491573334","0.6604","0.8433"
"TS","0","1302","5","grid","0.5","0.26543062925338745","0.5625","0.8446"
"TS","0","1303","5","grid","0.5","0.28638869524002075","0.6972","0.8386"
"TS","0","1304","5","grid","0.5","0.3128884732723236","0.6008","0.8057"
"TS","0","1305","5","grid","0.5","0.31820449233055115","0.6329","0.8385"
"TS","0","1306","5","grid","0.5","0.2690448462963104","0.6605","0.8157"
"TS","0","1307","5","grid","0.5","0.3169976770877838","0.6587","0.8318"
"TS","0","1308","5","grid","0.5","0.26189321279525757","0.6926","0.8186"
"TS","0","1309","5","grid","0.5","0.23823018372058868","0.6496","0.8485"
"TS","0","1310","5","grid","0.5","0.24448049068450928","0.5308","0.8449"
"TS","0","1311","5","grid","0.5","0.24810878932476044","0.6938","0.876"
"TS","0","1312","5","grid","0.5","0.32875075936317444","0.6481","0.7973"
"TS","0","1313","5","grid","0.5","0.30164527893066406","0.648","0.7902"
"TS","0","1314","5","grid","0.5","0.2588146924972534","0.7078","0.8393"
"TS","0","1315","5","grid","0.5","0.26669856905937195","0.6642","0.844"
"TS","0","1316","5","grid","0.5","0.27254724502563477","0.7118","0.8367"
"TS","0","1317","5","grid","0.5","0.3501102328300476","0.6005","0.8023"
"TS","0","1318","5","grid","0.5","0.23448236286640167","0.7555","0.8692"
"TS","0","1319","5","grid","0.5","0.23341503739356995","0.6561","0.8408"
"TS","0","1320","5","grid","0.75","0.3264300227165222","0.6777","0.7933"
"TS","0","1321","5","grid","0.75","0.24510271847248077","0.6804","0.8731"
"TS","0","1322","5","grid","0.75","0.322908490896225","0.7125","0.8471"
"TS","0","1323","5","grid","0.75","0.35010457038879395","0.5645","0.8218"
"TS","0","1324","5","grid","0.75","0.22782225906848907","0.784","0.8836"
"TS","0","1325","5","grid","0.75","0.1994997262954712","0.6618","0.8747"
"TS","0","1326","5","grid","0.75","0.25668850541114807","0.6266","0.827"
"TS","0","1327","5","grid","0.75","0.24437637627124786","0.7594","0.8717"
"TS","0","1328","5","grid","0.75","0.2731863558292389","0.6384","0.8513"
"TS","0","1329","5","grid","0.75","0.29625019431114197","0.4362","0.8643"
"TS","0","1330","5","grid","0.75","0.2691550552845001","0.7132","0.8415"
"TS","0","1331","5","grid","0.75","0.28121417760849","0.7338","0.8397"
"TS","0","1332","5","grid","0.75","0.317649781703949","0.6932","0.828"
"TS","0","1333","5","grid","0.75","0.23344910144805908","0.7039","0.8566"
"TS","0","1334","5","grid","0.75","0.25082069635391235","0.6529","0.85"
"TS","0","1335","5","grid","0.75","0.2807874381542206","0.6269","0.8505"
"TS","0","1336","5","grid","0.75","0.31857338547706604","0.6959","0.83"
"TS","0","1337","5","grid","0.75","0.2905253767967224","0.6963","0.8136"
"TS","0","1338","5","grid","0.75","0.32622233033180237","0.5751","0.8117"
"TS","0","1339","5","grid","0.75","0.2874594032764435","0.7074","0.8435"
"TS","0","1340","5","grid","0.75","0.2470286637544632","0.7236","0.8618"
"TS","0","1341","5","grid","0.75","0.2699357569217682","0.6046","0.8278"
"TS","0","1342","5","grid","0.75","0.3049076497554779","0.6527","0.815"
"TS","0","1343","5","grid","0.75","0.32976609468460083","0.5915","0.8215"
"TS","0","1344","5","grid","0.75","0.26345163583755493","0.7165","0.8311"
"TS","0","1345","5","grid","0.75","0.33625584840774536","0.6723","0.8136"
"TS","0","1346","5","grid","0.75","0.2454625368118286","0.6421","0.8719"
"TS","0","1347","5","grid","0.75","0.2556513845920563","0.6826","0.8484"
"TS","0","1348","5","grid","0.75","0.31946033239364624","0.6762","0.8085"
"TS","0","1349","5","grid","0.75","0.2674630582332611","0.6598","0.8479"
"TS","0","1350","5","grid","0.75","0.28401511907577515","0.624","0.8403"
"TS","0","1351","5","grid","0.75","0.20377711951732635","0.6963","0.9006"
"TS","0","1352","5","grid","0.75","0.3019779324531555","0.496","0.8882"
"TS","0","1353","5","grid","0.75","0.3043748736381531","0.6221","0.8363"
"TS","0","1354","5","grid","0.75","0.2820174992084503","0.678","0.8354"
"TS","0","1355","5","grid","0.75","0.2744961082935333","0.6489","0.8251"
"TS","0","1356","5","grid","0.75","0.3069861829280853","0.5874","0.8177"
"TS","0","1357","5","grid","0.75","0.2697848081588745","0.708","0.839"
"TS","0","1358","5","grid","0.75","0.3749020993709564","0.5906","0.8204"
"TS","0","1359","5","grid","0.75","0.2247242033481598","0.7198","0.8497"
"TS","0","1360","5","grid","1.0","0.3151898980140686","0.6921","0.8515"
"TS","0","1361","5","grid","1.0","0.2790985703468323","0.6062","0.8745"
"TS","0","1362","5","grid","1.0","0.32015687227249146","0.5664","0.8576"
"TS","0","1363","5","grid","1.0","0.33147603273391724","0.6443","0.8228"
"TS","0","1364","5","grid","1.0","0.28852811455726624","0.6592","0.8681"
"TS","0","1365","5","grid","1.0","0.30915188789367676","0.5591","0.8228"
"TS","0","1366","5","grid","1.0","0.27097922563552856","0.6683","0.8434"
"TS","0","1367","5","grid","1.0","0.22139108180999756","0.6777","0.8535"
"TS","0","1368","5","grid","1.0","0.22003166377544403","0.7198","0.8826"
"TS","0","1369","5","grid","1.0","0.29844263195991516","0.6464","0.839"
"TS","0","1370","5","grid","1.0","0.2120712250471115","0.7249","0.8327"
"TS","0","1371","5","grid","1.0","0.3036419749259949","0.6018","0.8087"
"TS","0","1372","5","grid","1.0","0.2601088583469391","0.6992","0.8615"
"TS","0","1373","5","grid","1.0","0.2803534269332886","0.7358","0.8171"
"TS","0","1374","5","grid","1.0","0.2934632897377014","0.5417","0.8463"
"TS","0","1375","5","grid","1.0","0.22140803933143616","0.701","0.8717"
