"type","epoch","batch","shot","sparsity_mode","sparsity_value","loss","iou_cup","iou_disc"
"TR","12","24","14","region point grid contour skeleton region point grid contour skeleton region point grid contour","0.558 19 0.383 0.366 0.141 0.27 31 0.429 0.936 0.89 0.149 34 0.813 0.43","0.1439075469970703","null","null"
"TR","12","25","1","contour","0.6","0.18741406500339508","null","null"
"TR","12","26","16","grid contour skeleton region point grid contour skeleton region point grid contour skeleton region point grid","0.321 0.801 0.399 0.157 49 0.536 0.459 0.928 0.576 50 0.869 0.353 0.714 0.408 27 0.706","0.24580125510692596","null","null"
"TR","12","27","16","skeleton region point grid contour skeleton region point grid contour skeleton region point grid contour skeleton","0.248 0.158 16 0.762 0.728 0.218 0.667 33 0.589 0.843 0.35 0.328 19 0.124 0.724 0.514","0.17716895043849945","null","null"
"TR","12","28","5","grid contour skeleton region point","0.809 0.47 0.352 0.271 11","0.21984291076660156","null","null"
"TR","12","29","11","skeleton region point grid contour skeleton region point grid contour skeleton","0.788 0.184 19 0.922 0.791 0.802 0.806 48 0.162 0.131 0.889","0.13060875236988068","null","null"
"TR","12","30","8","skeleton region point grid contour skeleton region point","0.968 0.926 30 0.71 0.569 0.577 0.615 13","0.18572884798049927","null","null"
"TR","12","31","16","point grid contour skeleton region point grid contour skeleton region point grid contour skeleton region point","24 0.545 0.935 0.501 0.529 31 0.164 0.167 0.768 0.716 12 0.391 0.166 0.352 0.874 33","0.1406758576631546","null","null"
"TR","12","32","8","contour skeleton region point grid contour skeleton region","0.889 0.927 0.731 24 0.75 0.696 0.475 0.712","0.1377072036266327","null","null"
"TR","12","33","19","grid contour skeleton region point grid contour skeleton region point grid contour skeleton region point grid contour skeleton region","0.237 0.951 0.727 0.38 24 0.788 0.452 0.787 0.384 38 0.74 0.284 0.584 0.636 8 0.764 0.903 0.753 0.209","0.16062721610069275","null","null"
"TR","12","34","3","grid contour skeleton","0.479 0.692 0.818","0.2531664967536926","null","null"
"TR","12","35","10","contour skeleton region point grid contour skeleton region point grid","0.314 0.334 0.349 14 0.238 0.649 0.588 0.888 10 0.337","0.23300297558307648","null","null"
"TR","12","36","9","contour skeleton region point grid contour skeleton region point","0.496 0.823 0.702 41 0.544 0.654 0.437 0.981 28","0.23250558972358704","null","null"
"TR","12","37","17","point grid contour skeleton region point grid contour skeleton region point grid contour skeleton region point grid","30 0.624 0.209 0.269 0.439 23 0.604 0.415 0.885 0.469 28 0.872 0.9 0.188 0.292 15 0.685","0.17665526270866394","null","null"
"TR","12","38","6","point grid contour skeleton region point","7 0.873 0.964 0.37 0.728 19","0.14996464550495148","null","null"
"TR","12","39","10","point grid contour skeleton region point grid contour skeleton region","39 0.111 0.17 0.613 0.576 40 0.396 0.714 0.676 0.289","0.1482572853565216","null","null"
"TR","12","40","2","skeleton region","0.155 0.953","0.16089114546775818","null","null"
"TR","12","41","17","region point grid contour skeleton region point grid contour skeleton region point grid contour skeleton region point","0.136 18 0.49 0.382 0.768 0.66 30 0.969 0.278 0.78 0.136 16 0.535 0.981 0.273 0.23 12","0.204807311296463","null","null"
"TR","12","42","6","point grid contour skeleton region point","47 0.715 0.516 0.391 0.527 29","0.15657660365104675","null","null"
"TR","12","43","2","region point","0.793 12","0.143647700548172","null","null"
"TR","12","44","9","grid contour skeleton region point grid contour skeleton region","0.255 0.837 0.201 0.945 35 0.546 0.825 0.907 0.664","0.137971431016922","null","null"
"TR","12","45","19","point grid contour skeleton region point grid contour skeleton region point grid contour skeleton region point grid contour skeleton","48 0.757 0.336 0.534 0.202 34 0.675 0.555 0.254 0.517 14 0.782 0.534 0.588 0.734 48 0.198 0.117 0.115","0.12884750962257385","null","null"
"TR","12","46","7","contour skeleton region point grid contour skeleton","0.928 0.403 0.68 22 0.598 0.421 0.279","0.21167802810668945","null","null"
"TR","12","47","7","skeleton region point grid contour skeleton region","0.576 0.615 13 0.869 0.608 0.623 0.375","0.13474372029304504","null","null"
"TR","12","48","14","grid contour skeleton region point grid contour skeleton region point grid contour skeleton region","0.13 0.999 0.824 0.44 23 0.337 0.754 0.24 0.913 36 0.837 0.667 0.989 0.521","0.1601414680480957","null","null"
"TR","12","49","14","contour skeleton region point grid contour skeleton region point grid contour skeleton region point","0.122 0.99 0.114 45 0.633 0.763 0.57 0.934 45 0.817 0.228 0.192 0.657 9","0.1536327749490738","null","null"
"TR","12","50","1","contour","0.981","0.17453524470329285","null","null"
